time_s,gyro_x_deg_s,gyro_y_deg_s,gyro_z_deg_s,accel_x_g,accel_y_g,accel_z_g,aux_volts,current_a,accel_mag_g,accel_excess_g,gyro_mag_deg_s,jerk_excess_g_per_s
0.704,-21.4,4.7,1.5,20.42,-0.31,-0.5,0.037,0.0,20.42847277698458,19.42847277698458,21.96132965009177,5.507080030403813
0.706,-22.8,3.5,2.2,20.42,-0.32,-0.56,0.037,0.0,20.43018355277309,19.43018355277309,23.171750041807375,-1.9725058254898613
0.708,-23.8,3.5,2.1,20.41,-0.36,-0.55,0.035,0.0,20.42058275368262,19.42058275368262,24.147463634924478,7.4431147274563045
0.71,-22.4,2.2,1.2,20.45,-0.37,-0.52,0.035,0.0,20.45995601168292,19.45995601168292,22.539742678211745,-0.36484101887799625
0.712,-22.4,1.9,2.8,20.41,-0.35,-0.5,0.037,0.0,20.41912338960711,19.41912338960711,22.654138694728605,-2.5892484023097495
0.714,-23.3,2.3,2.6,20.44,-0.3,-0.55,0.034,0.0,20.44959901807368,19.44959901807368,23.557164515280697,20.330736749341668
0.716,-22.6,2.2,2.7,20.49,-0.41,-0.51,0.035,0.0,20.500446336604476,19.500446336604476,22.866788143506295,-5.118187970516374
0.718,-23.3,1.5,2.0,20.42,-0.32,-0.52,0.037,0.0,20.429126266191613,19.429126266191613,23.433736364481017,12.541089979355093
0.72,-22.6,0.4,2.2,20.54,-0.38,-0.54,0.036,0.0,20.550610696521893,19.550610696521893,22.710350063352173,10.609234358267713
0.722,-20.5,1.6,2.5,20.46,-0.37,-0.58,0.036,0.0,20.471563203624683,19.471563203624683,20.71376354021644,2.140001649358055
0.724,-26.0,-1.4,2.0,20.55,-0.37,-0.49,0.036,0.0,20.559170703119328,19.559170703119328,26.114363863590476,37.207403784016606
0.726,-17.6,0.2,2.5,20.61,-0.37,-0.54,0.036,0.0,20.620392818760752,19.620392818760752,17.777795138880414,2.5371707002623225
0.728,-25.7,-2.4,2.3,20.56,-0.32,-0.53,0.035,0.0,20.569319385920377,19.569319385920377,25.914088832139168,-5.317869569086724
0.73,-20.2,-0.2,1.6,20.59,-0.34,-0.51,0.037,0.0,20.599121340484405,19.599121340484405,20.264254242384546,-0.10756423674502003
0.732,-25.1,-2.5,2.0,20.56,-0.34,-0.5,0.036,0.0,20.568889128973396,19.568889128973396,25.303359460751455,5.0438616871661
0.734,-21.9,-1.6,1.6,20.61,-0.32,-0.53,0.035,0.0,20.61929678723307,19.61929678723307,22.016584657934573,7.630871002867934
0.736,-21.2,-2.8,3.0,20.59,-0.31,-0.54,0.034,0.0,20.599412612984867,19.599412612984867,21.593517545782113,12.162352429111706
0.738,-24.0,-3.3,2.1,20.66,-0.28,-0.5,0.034,0.0,20.667946196949515,19.667946196949515,24.31666095499133,9.903381707733388
0.74,-23.4,-3.5,2.5,20.63,-0.35,-0.5,0.034,0.0,20.6390261398158,19.6390261398158,23.792015467378967,-7.019858453416418
0.742,-22.7,-4.3,1.3,20.63,-0.34,-0.54,0.034,0.0,20.63986676313585,19.63986676313585,23.14022471800998,0.7267272996923566
0.744,-19.6,-4.1,2.3,20.63,-0.38,-0.59,0.037,0.0,20.641933049014572,19.641933049014572,20.155892438688994,-0.29252471494601195
0.746,-21.7,-4.8,1.5,20.63,-0.33,-0.5,0.036,0.0,20.638696664276065,19.638696664276065,22.275098204048394,21.70377605363865
0.748,-21.2,-4.4,1.6,20.72,-0.35,-0.49,0.037,0.0,20.728748153229127,19.728748153229127,21.71082679217906,12.832479649286142
0.75,-19.2,-4.6,2.6,20.68,-0.38,-0.52,0.036,0.0,20.69002658287321,19.69002658287321,19.913814300630605,-2.1454120266580503
0.752,-24.6,-5.8,1.1,20.71,-0.36,-0.54,0.034,0.0,20.720166505122492,19.720166505122492,25.298418922928764,-5.38885627320451
0.754,-20.7,-6.3,2.8,20.66,-0.3,-0.51,0.036,0.0,20.66847115778039,19.66847115778039,21.81788257370545,-9.995083936927585
0.756,-25.9,-7.9,0.4,20.67,-0.36,-0.54,0.035,0.0,20.68018616937478,19.68018616937478,27.080989642182576,20.177387234170055
0.758,-19.0,-6.3,2.5,20.74,-0.28,-0.55,0.036,0.0,20.749180706717073,19.749180706717073,20.172753902231594,14.638838660632246
0.76,-21.2,-8.5,1.4,20.73,-0.32,-0.51,0.037,0.0,20.738741524017314,19.738741524017314,22.883400097013556,-5.4759980509752495
0.762,-21.5,-7.7,1.8,20.72,-0.3,-0.46,0.036,0.0,20.72727671451317,19.72727671451317,22.90807717814832,-0.015068438639900705
0.764,-21.9,-7.9,1.5,20.73,-0.36,-0.48,0.036,0.0,20.738681250262754,19.738681250262754,23.3295949386182,22.86981304066194
0.766,-18.2,-9.2,2.2,20.81,-0.27,-0.54,0.037,0.0,20.81875596667582,19.81875596667582,20.51146021130626,-7.394243048050157
0.768,-19.7,-9.4,2.1,20.7,-0.37,-0.49,0.036,0.0,20.70910427807055,19.70910427807055,21.92852024191327,-4.724448520607439
0.77,-18.4,-9.6,1.6,20.79,-0.4,-0.5,0.037,0.0,20.79985817259339,19.79985817259339,20.815378930012297,10.445010108752285
0.772,-18.4,-9.3,2.5,20.74,-0.4,-0.54,0.036,0.0,20.750884318505562,19.750884318505562,20.767763480933617,2.4177236598115996
0.774,-19.5,-9.3,1.8,20.8,-0.34,-0.53,0.034,0.0,20.809529067232635,19.809529067232635,21.6790221181676,7.003407774264815
0.776,-18.0,-11.4,2.1,20.77,-0.36,-0.49,0.035,0.0,20.77889794960262,19.77889794960262,21.40957729615417,0.10571972290108533
0.778,-20.7,-11.0,1.6,20.8,-0.35,-0.54,0.037,0.0,20.80995194612424,19.80995194612424,23.495744295510196,12.869126736300132
0.78,-22.1,-11.5,1.2,20.82,-0.36,-0.55,0.035,0.0,20.830374456547823,19.830374456547823,24.941932563456266,14.95211853962519
0.782,-18.3,-10.7,2.1,20.86,-0.37,-0.52,0.037,0.0,20.86976042028274,19.86976042028274,21.30234728850321,-2.7959475604720865
0.784,-20.0,-12.4,1.4,20.81,-0.35,-0.51,0.036,0.0,20.819190666305932,19.819190666305932,23.57371417490252,12.26531206324762
0.786,-16.7,-11.0,2.1,20.91,-0.33,-0.51,0.036,0.0,20.91882166853573,19.91882166853573,20.107212636265626,9.575498052225157
0.788,-17.9,-11.9,1.4,20.85,-0.25,-0.5,0.036,0.0,20.857492658514833,19.857492658514833,21.540194985189896,-7.56385451807455
0.79,-19.6,-13.0,0.2,20.88,-0.37,-0.47,0.035,0.0,20.888566250463434,19.888566250463434,23.52020408074726,15.407543010953304
0.792,-20.4,-14.1,2.4,20.91,-0.3,-0.54,0.036,0.0,20.919122830558646,19.919122830558646,24.914453636393475,-7.990744889159032
0.794,-22.8,-13.6,0.8,20.85,-0.27,-0.45,0.036,0.0,20.856603270906795,19.856603270906795,26.560120481654444,-0.059754280869128706
0.796,-13.8,-12.7,3.2,20.91,-0.4,-0.46,0.036,0.0,20.91888381343517,19.91888381343517,19.02550919160904,8.255835340447447
0.798,-19.6,-16.1,0.0,20.88,-0.39,-0.5,0.036,0.0,20.889626612268586,19.889626612268586,25.364739304790817,7.686563724445477
0.8,-16.1,-12.8,0.9,20.94,-0.35,-0.53,0.036,0.0,20.94963006833295,19.94963006833295,20.587860500790267,9.837726737757293
0.802,-14.8,-14.9,1.1,20.92,-0.34,-0.51,0.035,0.0,20.928977519219615,19.928977519219615,21.02997860198626,17.308222136154654
0.804,-20.4,-13.7,0.7,21.01,-0.35,-0.5,0.035,0.0,21.01886295687757,20.01886295687757,24.583327683615167,10.355166221857871
0.806,-18.6,-16.3,1.1,20.96,-0.38,-0.54,0.034,0.0,20.970398184107047,19.970398184107047,24.756009371463733,-7.332462766261415
0.808,-22.6,-17.0,0.7,20.98,-0.4,-0.49,0.036,0.0,20.989533105812527,19.989533105812527,28.28869031963127,9.500629141263744
0.81,-17.1,-14.7,0.9,21.0,-0.35,-0.48,0.037,0.0,21.0084007006721,20.0084007006721,22.56789755382632,0.08754290356228012
0.812,-17.9,-16.8,0.4,20.98,-0.38,-0.52,0.036,0.0,20.989883277426774,19.989883277426774,24.552189311749775,-4.714516575738344
0.814,-19.9,-15.1,0.0,20.98,-0.33,-0.54,0.037,0.0,20.989542634369144,19.989542634369144,24.980392310770462,-15.613477073744434
0.816,-18.6,-17.2,0.4,20.92,-0.3,-0.47,0.037,0.0,20.927429369131797,19.927429369131797,25.336929569306538,-0.24119707800491597
0.818,-18.2,-16.1,0.2,20.98,-0.36,-0.48,0.037,0.0,20.988577846057126,19.988577846057126,24.3,-7.308318682921708
0.82,-19.1,-17.0,0.2,20.89,-0.32,-0.49,0.037,0.0,20.89819609440011,19.89819609440011,25.57049080483204,-7.824968488494051
0.822,-18.6,-18.0,-0.4,20.95,-0.29,-0.47,0.037,0.0,20.95727797210315,19.95727797210315,25.88667610953558,5.196429096499742
0.824,-20.2,-15.2,1.1,20.91,-0.34,-0.51,0.036,0.0,20.918981810786107,19.918981810786107,25.30395226046714,10.377522040891563
0.826,-17.7,-19.0,1.0,20.99,-0.33,-0.51,0.034,0.0,20.998788060266715,19.998788060266715,25.98634256681767,17.64973444156385
0.828,-15.6,-15.4,0.9,20.98,-0.39,-0.5,0.037,0.0,20.989580748552363,19.989580748552363,21.939234261933574,7.375007456885214
0.83,-20.4,-18.4,1.5,21.02,-0.37,-0.46,0.037,0.0,21.028288090094257,20.028288090094257,27.513087794720533,12.287550442189968
0.832,-15.1,-15.8,0.2,21.03,-0.37,-0.48,0.037,0.0,21.038730950321124,20.038730950321124,21.8561204242656,12.364617194196398
0.834,-18.7,-18.2,2.1,21.07,-0.31,-0.48,0.037,0.0,21.07774655887104,20.07774655887104,26.178999216929586,2.679493395461577
0.836,-16.5,-18.2,0.0,21.04,-0.29,-0.56,0.037,0.0,21.049448923902972,20.049448923902972,24.566033460858105,-9.682605544679063
0.838,-17.4,-17.6,2.1,21.03,-0.33,-0.52,0.036,0.0,21.039016136692325,20.039016136692325,24.838075609837407,14.763525532244785
0.84,-17.9,-19.8,-0.6,21.1,-0.33,-0.5,0.036,0.0,21.10850302603195,20.10850302603195,26.698501830627126,-0.33331987383462547
0.842,-17.0,-16.6,0.9,21.03,-0.36,-0.44,0.034,0.0,21.037682857196987,20.037682857196987,23.777510382712485,9.449221679686161
0.844,-17.1,-19.1,1.8,21.14,-0.3,-0.42,0.034,0.0,21.146299912750695,20.146299912750695,25.69941633578475,12.260706272371863
0.846,-16.8,-17.7,0.5,21.08,-0.3,-0.44,0.035,0.0,21.086725682286474,20.086725682286474,24.408605040026355,5.787443264583089
0.848,-14.4,-20.6,1.1,21.16,-0.36,-0.52,0.037,0.0,21.169449685809028,20.169449685809028,25.158100087248243,3.2012795459868357
0.85,-17.2,-18.4,0.6,21.09,-0.39,-0.5,0.036,0.0,21.099530800470422,20.099530800470422,25.194443831924527,14.66004882238849
0.852,-15.1,-19.1,0.1,21.22,-0.35,-0.47,0.036,0.0,21.22808988109858,20.22808988109858,24.348100541931398,26.75442910955462
0.854,-20.2,-19.1,-0.2,21.2,-0.29,-0.44,0.037,0.0,21.20654851690864,20.20654851690864,27.800899266030946,0.14073147447743395
0.856,-15.6,-18.1,0.5,21.22,-0.37,-0.48,0.035,0.0,21.22865280699649,20.22865280699649,23.900209204105305,5.451290989710287
0.858,-15.4,-20.2,1.1,21.22,-0.39,-0.45,0.035,0.0,21.22835368086748,20.22835368086748,25.42459439204488,-12.648941687109982
0.86,-16.8,-18.3,0.7,21.17,-0.36,-0.46,0.035,0.0,21.17805704024805,20.17805704024805,24.851961693194365,-7.5583702973499385
0.862,-15.3,-21.0,-0.6,21.19,-0.29,-0.51,0.036,0.0,21.198120199678083,20.198120199678083,25.989420924676256,4.7645823843822654
0.864,-21.3,-20.1,-0.5,21.19,-0.3,-0.46,0.036,0.0,21.19711536978558,20.19711536978558,29.290783533391522,14.966045666587888
0.866,-10.7,-18.2,-0.9,21.25,-0.37,-0.45,0.034,0.0,21.257984382344436,20.257984382344436,21.131493084966806,12.553468536321816
0.868,-18.4,-20.6,0.0,21.24,-0.33,-0.45,0.034,0.0,21.247329243930867,20.247329243930867,27.62100649867778,-10.12172154349173
0.87,-9.3,-17.2,-0.3,21.21,-0.34,-0.45,0.037,0.0,21.217497496170466,20.217497496170466,19.55556186868585,0.20884567260418407
0.872,-17.4,-22.1,-0.5,21.24,-0.38,-0.45,0.036,0.0,21.248164626621282,20.248164626621282,28.132187970365905,12.277532937941032
0.874,-15.0,-19.1,-0.4,21.26,-0.31,-0.43,0.036,0.0,21.26660762792223,20.26660762792223,24.28929805490476,4.698915983175539
0.876,-11.4,-21.5,0.3,21.26,-0.32,-0.44,0.034,0.0,21.266960290553985,20.266960290553985,24.337214302380627,-10.075209146068119
0.878,-17.2,-21.0,-1.4,21.22,-0.34,-0.39,0.036,0.0,21.226306791337958,20.226306791337958,27.18087562975115,10.142223789687705
0.88,-10.2,-18.9,0.5,21.3,-0.38,-0.42,0.035,0.0,21.30752918571274,20.30752918571274,21.48255105894083,17.812351624613257
0.882,-16.4,-19.3,-1.4,21.29,-0.37,-0.43,0.034,0.0,21.29755619783641,20.29755619783641,25.365527788713564,-0.25285089698627417
0.884,-9.1,-18.9,0.0,21.3,-0.29,-0.44,0.034,0.0,21.306517782124793,20.306517782124793,20.976653689280376,17.42010100668176
0.886,-12.8,-22.2,0.0,21.36,-0.34,-0.44,0.036,0.0,21.36723660186314,20.36723660186314,25.62576828116574,0.019360237773071276
0.888,-11.4,-19.6,-0.9,21.3,-0.31,-0.43,0.036,0.0,21.306595223075885,20.306595223075885,22.69206909913682,-10.024739970551309
0.89,-8.4,-22.1,-0.3,21.32,-0.38,-0.4,0.036,0.0,21.327137641980933,20.327137641980933,23.64444966583067,10.08767357868419
0.892,-9.4,-19.4,-3.1,21.34,-0.38,-0.39,0.036,0.0,21.34694591739062,20.34694591739062,21.77911843945939,2.652063960151281
0.894,-15.4,-19.0,-0.9,21.33,-0.37,-0.44,0.036,0.0,21.337745897821538,20.337745897821538,24.473863609981976,-5.2064456706430065
0.896,-8.8,-20.3,-1.8,21.32,-0.33,-0.39,0.036,0.0,21.32612013470805,20.32612013470805,22.19842336743761,14.85144544573086
