time_s,altitude_agl_ft,altitude_agl_smooth_ft,vertical_velocity_ft_s,horizontal_velocity_ft_s,acceleration_ft_s2,velocity_dr_ft_s,velocity_cr_ft_s,apo_fired,main_fired,descent_rate_ft_s,descent_rate_from_alt_ft_s,descent_rate_from_alt_smoothed_ft_s,altitude_asl_ft,baro_press_atm,inertial_altitude_ft,tilt_angle_deg,future_angle_deg,roll_angle_deg
-1.94,4.2,1380.969,0.0,0.0,0.0,0.0,0.0,0,0,,,,1956.8,0.9313,0.0,0.0,0.0,0.0
-1.92,4.2,1396.3222591362126,0.0,0.0,0.0,0.0,0.0,0,0,,,,1956.8,0.9313,0.0,0.0,0.0,0.0
-1.9,-1.7,1411.5738410596025,0.0,0.0,0.0,0.0,0.0,0,0,,,,1951.0,0.9315,0.0,0.0,0.0,0.0
-1.88,-2.3,1426.9478547854785,0.0,0.0,0.0,0.0,0.0,0,0,,,,1950.4,0.9315,0.0,0.0,0.0,0.0
-1.86,0.7,1442.2207236842105,0.0,0.0,0.0,0.0,0.0,0,0,,,,1953.3,0.9314,0.0,0.0,0.0,0.0
-1.84,1.3,1457.6291803278689,0.0,0.0,0.0,0.0,0.0,0,0,,,,1953.9,0.9314,0.0,0.0,0.0,0.0
-1.82,2.4,1472.9369281045751,0.0,0.0,0.0,0.0,0.0,0,0,,,,1955.1,0.9313,0.0,0.0,0.0,0.0
-1.8,2.4,1488.3615635179153,0.0,0.0,0.0,0.0,0.0,0,0,,,,1955.1,0.9313,0.0,0.0,0.0,0.0
-1.78,-0.5,1503.6883116883116,0.0,0.0,0.0,0.0,0.0,0,0,,,,1952.1,0.9314,0.0,0.0,0.0,0.0
-1.76,-0.5,1519.1588996763753,0.0,0.0,0.0,0.0,0.0,0,0,,,,1952.1,0.9314,0.0,0.0,0.0,0.0
-1.74,-2.3,1534.5296774193548,0.0,0.0,0.0,0.0,0.0,0,0,,,,1950.4,0.9315,0.0,0.0,0.0,0.0
-1.72,-2.3,1549.9932475884245,0.0,0.0,0.0,0.0,0.0,0,0,,,,1950.4,0.9315,0.0,0.0,0.0,0.0
-1.7,2.4,1565.359935897436,0.0,0.0,0.0,0.0,0.0,0,0,,,,1955.1,0.9313,0.0,0.0,0.0,0.0
-1.68,2.4,1580.8306709265175,0.0,0.0,0.0,0.0,0.0,0,0,,,,1955.1,0.9313,0.0,0.0,0.0,0.0
-1.66,-4.0,1596.2006369426751,0.0,0.0,0.0,0.0,0.0,0,0,,,,1948.6,0.9316,0.0,0.0,0.0,0.0
-1.64,-3.4,1611.6631746031746,0.0,0.0,0.0,0.0,0.0,0,0,,,,1949.2,0.9315,0.0,0.0,0.0,0.0
-1.62,-2.3,1627.0300632911392,0.0,0.0,0.0,0.0,0.0,0,0,,,,1950.4,0.9315,0.0,0.0,0.0,0.0
-1.6,-1.7,1642.500315457413,0.0,0.0,0.0,0.0,0.0,0,0,,,,1951.0,0.9315,0.0,0.0,0.0,0.0
-1.58,-0.5,1657.8710691823899,0.0,0.0,0.0,0.0,0.0,0,0,,,,1952.1,0.9314,0.0,0.0,0.0,0.0
-1.56,-0.5,1673.351724137931,0.0,0.0,0.0,0.0,0.0,0,0,,,,1952.1,0.9314,0.0,0.0,0.0,0.0
-1.54,0.7,1688.735625,0.0,0.0,0.0,0.0,0.0,0,0,,,,1953.3,0.9314,0.0,0.0,0.0,0.0
-1.52,1.3,1704.1847352024924,0.0,0.0,0.0,0.0,0.0,0,0,,,,1953.9,0.9314,0.0,0.0,0.0,0.0
-1.5,1.3,1719.5378881987576,0.0,0.0,0.0,0.0,0.0,0,0,,,,1953.9,0.9314,0.0,0.0,0.0,0.0
-1.48,1.3,1734.9938080495356,0.0,0.0,0.0,0.0,0.0,0,0,,,,1953.9,0.9314,0.0,0.0,0.0,0.0
-1.46,-0.5,1750.3543209876545,0.0,0.0,0.0,0.0,0.0,0,0,,,,1952.1,0.9314,0.0,0.0,0.0,0.0
-1.44,-1.1,1765.7993846153847,0.0,0.0,0.0,0.0,0.0,0,0,,,,1951.6,0.9315,0.0,0.0,0.0,0.0
-1.42,-2.3,1781.1496932515338,0.0,0.0,0.0,0.0,0.0,0,0,,,,1950.4,0.9315,0.0,0.0,0.0,0.0
-1.4,-2.3,1796.5868501529053,0.0,0.0,0.0,0.0,0.0,0,0,,,,1950.4,0.9315,0.0,0.0,0.0,0.0
-1.38,2.4,1811.9298780487804,0.0,0.0,0.0,0.0,0.0,0,0,,,,1955.1,0.9313,0.0,0.0,0.0,0.0
-1.36,2.4,1827.3422492401214,0.0,0.0,0.0,0.0,0.0,0,0,,,,1955.1,0.9313,0.0,0.0,0.0,0.0
-1.34,-2.3,1842.661212121212,0.0,0.0,0.0,0.0,0.0,0,0,,,,1950.4,0.9315,0.0,0.0,0.0,0.0
-1.32,-2.3,1858.0646525679758,0.0,0.0,0.0,0.0,0.0,0,0,,,,1950.4,0.9315,0.0,0.0,0.0,0.0
-1.3,-1.1,1873.3753012048192,0.0,0.0,0.0,0.0,0.0,0,0,,,,1951.6,0.9315,0.0,0.0,0.0,0.0
-1.28,-0.5,1888.7723723723723,0.0,0.0,0.0,0.0,0.0,0,0,,,,1952.1,0.9314,0.0,0.0,0.0,0.0
-1.26,-0.5,1904.0748502994013,0.0,0.0,0.0,0.0,0.0,0,0,,,,1952.1,0.9314,0.0,0.0,0.0,0.0
-1.24,-0.5,1919.446567164179,0.0,0.0,0.0,0.0,0.0,0,0,,,,1952.1,0.9314,0.0,0.0,0.0,0.0
-1.22,0.7,1934.7267857142856,0.0,0.0,0.0,0.0,0.0,0,0,,,,1953.3,0.9314,0.0,0.0,0.0,0.0
-1.2,0.7,1950.0973293768548,0.0,0.0,0.0,0.0,0.0,0,0,,,,1953.3,0.9314,0.0,0.0,0.0,0.0
-1.18,-2.3,1965.376923076923,0.0,0.0,0.0,0.0,0.0,0,0,,,,1950.4,0.9315,0.0,0.0,0.0,0.0
-1.16,-2.3,1980.742772861357,0.0,0.0,0.0,0.0,0.0,0,0,,,,1950.4,0.9315,0.0,0.0,0.0,0.0
-1.14,-1.1,1996.0161764705883,0.0,0.0,0.0,0.0,0.0,0,0,,,,1951.6,0.9315,0.0,0.0,0.0,0.0
