time_s,gyro_x_deg_s,gyro_y_deg_s,gyro_z_deg_s,accel_x_g,accel_y_g,accel_z_g,aux_volts,current_a,accel_mag_g,accel_excess_g,gyro_mag_deg_s,vel_x_m_s,vel_y_m_s,vel_z_m_s,vel_mag_m_s,jerk_excess_g_per_s
38.1,18.9,-8.1,0.8,-0.03,0.0,0.0,0.034,0.0,0.03,0.97,20.578143745245825,10.0584,40.8432,-3.3528000000000002,42.196915345081806,0.40569415041969137
38.102,19.1,-8.1,0.9,-0.03,0.0,0.0,0.034,0.0,0.03,0.97,20.766078108299606,10.027920000000066,40.8432,-3.3528000000000002,42.189660268914245,2.842170943040401e-14
38.104,18.9,-8.2,0.7,-0.03,0.0,0.0,0.037,0.0,0.03,0.97,20.614072862973973,9.99744000000002,40.8432,-3.3528000000000002,42.182425969040715,0.0
38.106,18.9,-8.0,0.7,-0.03,0.0,0.0,0.037,0.0,0.03,0.97,20.535335400231475,9.966959999999979,40.8432,-3.3528000000000002,42.17521245615249,-2.842170943040401e-14
38.108,19.1,-8.2,0.7,-0.03,0.0,0.0,0.037,0.0,0.03,0.97,20.79759601492442,9.936480000000044,40.8432,-3.3528000000000002,42.168019740917416,-0.40569415041969137
38.11,18.8,-8.1,0.8,-0.03,0.0,-0.01,0.037,0.0,0.03162277660168379,0.9683772233983162,20.486336910243374,9.906,40.8432,-3.3528000000000002,42.160847833979815,0.0
38.112,19.1,-8.2,0.7,-0.03,0.0,0.0,0.036,0.0,0.03,0.97,20.79759601492442,9.875519999999957,40.8432,-3.3528000000000002,42.15369674596048,-2.4020699136359838
38.114,18.9,-8.2,0.8,-0.04,0.0,-0.01,0.037,0.0,0.04123105625617661,0.9587689437438234,20.61771083316477,9.84504000000002,40.8432,-3.3528000000000002,42.14656648745661,-0.4056941504396434
38.116,19.1,-8.1,0.7,-0.03,0.0,-0.01,0.036,0.0,0.03162277660168379,0.9683772233983162,20.758371805129613,9.814559999999979,40.8432,-3.3528000000000002,42.1394570690416,2.807764064040697
38.118,19.0,-8.1,0.7,-0.03,0.0,0.0,0.034,0.0,0.03,0.97,20.66639784771405,9.784079999999935,40.8432,-3.3528000000000002,42.13236850126514,-2.8990143619012088e-12
38.12,19.1,-8.1,0.8,-0.03,0.0,-0.01,0.034,0.0,0.03162277660168379,0.9683772233983162,20.761984490891038,9.7536,40.8432,-3.3528000000000002,42.125300794653086,-2.8421709430404007e-12
38.122,19.2,-8.3,0.7,-0.03,0.0,0.0,0.034,0.0,0.03,0.97,20.928927349484493,9.7536,40.8432,-3.3528000000000002,42.125300794653086,2.905694150417389
38.124,18.8,-8.2,0.8,-0.02,0.0,0.0,0.034,0.0,0.02,0.98,20.526080970316766,9.7536,40.8432,-3.3528000000000002,42.125300794653086,-1.779199010343291e-11
38.126,19.1,-8.2,0.6,-0.03,0.0,0.0,0.034,0.0,0.03,0.97,20.79447041883972,9.7536,40.8432,-3.3528000000000002,42.125300794653086,-2.9056941504299516
38.128,18.8,-8.0,0.9,-0.03,0.0,-0.01,0.036,0.0,0.03162277660168379,0.9683772233983162,20.45116133621756,9.7536,40.8432,-3.3528000000000002,42.125300794653086,-0.40569415042043033
38.13,18.8,-7.9,0.9,-0.03,0.0,-0.01,0.036,0.0,0.03162277660168379,0.9683772233983162,20.412251223223766,9.7536,40.8432,-3.3528000000000002,42.125300794653086,0.40569415042256196
38.132,19.0,-7.9,0.9,-0.03,0.0,0.0,0.036,0.0,0.03,0.97,20.596601661439202,9.7536,40.8432,-3.3528000000000002,42.125300794653086,-2.4020699136131043
38.134,18.9,-8.2,0.8,-0.04,0.0,-0.01,0.036,0.0,0.04123105625617661,0.9587689437438234,20.61771083316477,9.7536,40.8432,-3.3528000000000002,42.125300794653086,0.0
38.136,18.9,-8.2,0.8,-0.03,0.0,0.0,0.04,0.0,0.03,0.97,20.61771083316477,9.7536,40.8432,-3.3528000000000002,42.125300794653086,2.8077640640356947
38.138,18.9,-8.0,0.7,-0.03,0.0,0.0,0.036,0.0,0.03,0.97,20.535335400231475,9.7536,40.8432,-3.3528000000000002,42.125300794653086,-0.40569415041969137
38.14,18.8,-7.9,0.8,-0.03,0.0,-0.01,0.036,0.0,0.03162277660168379,0.9683772233983162,20.408086632509185,9.7536,40.8432,-3.3528000000000002,42.125300794653086,0.0
38.142,18.9,-8.2,0.7,-0.03,0.0,0.0,0.037,0.0,0.03,0.97,20.614072862973973,9.723119999999957,40.8432,-3.3528000000000002,42.118253959707296,-2.094305849590569
38.144,19.0,-8.0,0.9,-0.04,0.0,0.0,0.035,0.0,0.04,0.96,20.635164162177144,9.692640000000022,40.8432,-3.3528000000000002,42.11122800690572,-1.77351466845721e-11
38.146,18.9,-8.2,0.9,-0.03,0.0,0.0,0.036,0.0,0.03,0.97,20.621833090198358,9.662159999999979,40.8432,-3.3528000000000002,42.10422294670215,4.999999999993889
38.148,18.9,-8.1,0.9,-0.02,0.0,0.0,0.036,0.0,0.02,0.98,20.582273926852686,9.631679999999935,40.8432,-3.3528000000000002,42.097238789526315,-1.779199010343291e-11
38.15,19.0,-8.0,0.9,-0.03,0.0,0.0,0.034,0.0,0.03,0.97,20.635164162177144,9.6012,40.8432,-3.3528000000000002,42.09027554578373,-2.500000000010232
