time_s,gyro_x_deg_s,gyro_y_deg_s,gyro_z_deg_s,accel_x_g,accel_y_g,accel_z_g,aux_volts,current_a,accel_mag_g,accel_excess_g,gyro_mag_deg_s,vel_x_m_s,vel_y_m_s,vel_z_m_s,vel_mag_m_s,jerk_excess_g_per_s
63.634,-94.6,10.0,-51.5,-0.81,1.45,-0.38,0.037,0.0,1.703819239238717,0.703819239238717,108.17305579486973,200.07740599773228,59.75912098496693,-154.70639408495492,259.87725814785466,-6.107403591533625
63.636,-94.7,9.4,-54.0,-0.84,1.42,-0.43,0.036,0.0,1.7049633427144408,0.7049633427144408,109.41869127347485,200.093536556652,59.796111439627445,-154.7205314017309,259.90660082476273,-7.184287924514166
63.638,-94.0,9.0,-55.1,-0.79,1.43,-0.37,0.036,0.0,1.6750820875407866,0.6750820875407866,109.32982209808996,200.1096671155717,59.83310189428779,-154.73466871850684,259.9359472232019,15.7079735741261
63.64,-94.4,7.7,-57.4,-0.79,1.51,-0.47,0.034,0.0,1.7677952370113459,0.7677952370113459,110.74931151027532,200.1257976744913,59.87009234894829,-154.74880603528288,259.9652973419118,25.287469823062736
63.642,-93.8,6.7,-58.2,-0.79,1.5,-0.53,0.034,0.0,1.7762319668331612,0.7762319668331612,110.59190747970666,200.14192823341102,59.876602803608776,-154.76294335205887,259.9876297735751,-27.212447210761724
63.644,-92.6,5.5,-59.9,-0.76,1.36,-0.57,0.036,0.0,1.658945448168806,0.658945448168806,110.422008675807,200.15805879233073,59.883113258269205,-154.7770806688348,260.0099622194962,-22.083466410992173
63.646,-92.4,4.4,-61.3,-0.75,1.37,-0.64,0.036,0.0,1.687898101189761,0.6878981011897609,110.97211361418688,200.17418935125045,59.88962371292969,-154.79121798561079,260.0322946796714,-6.830122815578704
63.648,-91.9,4.1,-62.7,-0.75,1.29,-0.66,0.036,0.0,1.6316249569064578,0.6316249569064578,111.32704074033407,200.19031991017016,59.89613416759015,-154.80535530238683,260.0546271540971,-28.63148163200802
63.65,-91.9,3.7,-64.9,-0.75,1.21,-0.67,0.034,0.0,1.5733721746617995,0.5733721746617995,112.56691343374393,200.20645046908976,59.902644622250605,-154.81949261916276,260.07695964276945,-18.788647745628708
63.652,-91.2,4.2,-66.2,-0.69,1.17,-0.76,0.036,0.0,1.5564703659241315,0.5564703659241315,112.77198233603949,200.22258102800947,59.90915507691106,-154.83362993593875,260.09929214568507,-17.92660822339782
