time_s,gyro_x_deg_s,gyro_y_deg_s,gyro_z_deg_s,accel_x_g,accel_y_g,accel_z_g,aux_volts,current_a,accel_mag_g,accel_excess_g,gyro_mag_deg_s,jerk_excess_g_per_s
217.914,-324.1,-449.3,142.3,1.56,-0.2,1.16,0.037,2.225,1.9542773600489773,0.9542773600489773,571.9795363472368,-41.973801272810704
217.916,-325.7,-448.5,138.9,1.59,-0.02,1.06,0.037,2.269,1.9110468335443798,0.9110468335443798,571.4244919497238,29.66082120944037
217.918,-324.8,-453.5,134.7,1.59,0.0,1.33,0.038,2.35,2.072920644887305,1.0729206448873052,573.8478718266715,17.29510653431842
217.92,-328.7,-453.6,129.4,1.65,-0.18,1.08,0.037,2.31,1.9802272596851098,0.9802272596851098,574.9269605784721,64.80607264218861
217.922,-325.2,-459.9,121.9,1.72,-0.33,1.54,0.037,2.463,2.332144935461774,1.3321449354617738,576.3008415749538,16.918526281711735
217.924,-328.6,-460.8,118.1,1.63,-0.41,1.17,0.038,2.418,2.04790136481228,1.04790136481228,578.1541403466726,-15.216940426053782
217.926,-325.5,-463.6,110.3,1.69,-0.15,1.51,0.038,2.312,2.271277173750487,1.2712771737504869,577.0973054866918,-12.41303277524915
217.928,-328.1,-467.6,105.7,1.73,0.01,1.0,0.036,2.074,1.9982492337043445,0.9982492337043445,580.9232823704004,-33.10558499153274
217.93,-327.1,-468.3,98.6,1.67,0.13,1.33,0.036,2.219,2.1388548337837237,1.1388548337837237,579.6734080497397,29.670627056449774
217.932,-328.5,-475.3,88.4,1.78,0.19,1.13,0.037,2.342,2.1169317419321767,1.1169317419321767,584.4971342957979,-24.168656564969012
217.934,-329.5,-474.6,84.4,1.68,0.16,1.15,0.037,2.043,2.042180207523322,1.0421802075233222,583.8996232230331,-3.323009735281971
217.936,-329.7,-480.5,73.9,1.78,0.05,1.12,0.037,2.114,2.1036397029909852,1.1036397029909852,587.4040772756008,4.394264931961629
217.938,-330.5,-480.7,70.4,1.76,0.01,1.07,0.037,2.195,2.0597572672526248,1.0597572672526248,587.5873552077171,8.435468168548027
217.94,-329.0,-483.7,60.6,1.82,0.04,1.12,0.037,2.315,2.1373815756668253,1.1373815756668253,588.1148272233918,28.435553787106755
217.942,-329.1,-485.2,56.7,1.8,0.21,1.2,0.037,2.188,2.1734994824015947,1.1734994824015947,589.0167569772527,9.65598475792035
217.944,-326.4,-487.2,47.7,1.81,0.3,1.17,0.037,2.407,2.176005514698894,1.1760055146988941,588.3673087451409,-12.449970072860765
217.946,-327.6,-490.9,37.3,1.81,0.26,1.08,0.038,2.41,2.1236996021094887,1.1236996021094887,591.350877229416,-12.106182230854984
217.948,-325.7,-490.7,34.6,1.79,0.0,1.15,0.037,2.509,2.127580785775243,1.1275807857752431,589.9696093867886,-2.0700054947795365
217.95,-328.7,-494.4,27.3,1.77,-0.14,1.15,0.037,2.566,2.115419580130618,1.115419580130618,594.3234304652644,-0.6466670341602025
217.952,-327.5,-494.5,24.7,1.78,-0.04,1.16,0.037,2.597,2.1249941176389173,1.1249941176389173,593.6300110338088,6.296952576944761
217.954,-326.9,-496.7,18.6,1.78,0.37,1.13,0.038,2.539,2.140607390438517,1.1406073904385172,594.9121447743356,59.79926899665861
217.956,-326.8,-498.0,15.1,1.83,0.33,1.46,0.041,2.499,2.364191193622039,1.3641911936220388,595.8441490859838,3.799680824666723
217.958,-324.3,-498.4,5.0,1.81,0.05,1.17,0.037,2.567,2.15580611373101,1.15580611373101,594.6411102505443,-58.049205536545855
217.96,-328.0,-500.7,-7.1,1.78,-0.09,1.17,0.037,2.667,2.1319943714747467,1.1319943714747467,598.610808455711,9.10184488078761
