time_s,gyro_x_deg_s,gyro_y_deg_s,gyro_z_deg_s,accel_x_g,accel_y_g,accel_z_g,aux_volts,current_a,accel_mag_g,accel_excess_g,gyro_mag_deg_s,vel_x_m_s,vel_y_m_s,vel_z_m_s,vel_mag_m_s,jerk_excess_g_per_s
51.5,-85.6,-32.0,-79.0,-0.69,0.61,0.6,0.036,0.0,1.0991815136727872,0.09918151367278716,120.79884105404322,97.33650503198635,26.44763255996137,-77.77449320507782,127.36853721848001,-11.669217817276927
51.502,-83.0,-32.0,-80.4,-0.65,0.58,0.59,0.037,0.0,1.0521406750050109,0.05214067500501085,119.90479556714986,97.35263559090606,26.454143014621856,-77.7886305218538,127.39084887698685,-20.261490693987902
51.504,-81.7,-32.0,-81.0,-0.63,0.54,0.59,0.036,0.0,1.0181355508968342,0.018135550896834163,119.41478132961598,97.36876614982572,26.460653469282285,-77.80276783862973,127.41316057186796,-6.409879845113204
51.506,-78.3,-31.9,-81.9,-0.65,0.46,0.56,0.036,0.0,0.9734988443752772,0.026501155624722772,117.71197899959036,97.38489670874543,26.467163923942742,-77.81690515540578,127.4354723031044,-1.576381411387345
51.508,-77.5,-31.7,-82.3,-0.66,0.49,0.59,0.034,0.0,1.011830025251277,0.011830025251277076,117.40711222068278,97.40102726766514,26.473674378603228,-77.83104247218176,127.45778407067701,-5.764271607754667
51.51,-73.7,-31.5,-83.5,-0.72,0.39,0.58,0.034,0.0,1.0034440691936946,0.0034440691936945544,115.74191116445245,97.41715782658474,26.480184833263657,-77.8451797889577,127.48009587456653,13.653164891411063
51.512,-71.6,-31.4,-84.4,-0.76,0.46,0.59,0.036,0.0,1.0664426848171447,0.06644268481714466,115.04729462268985,97.43328838550445,26.486695287924142,-77.85931710573368,127.50240771475421,22.268988376502417
51.514,-69.1,-31.0,-84.5,-0.8,0.44,0.6,0.036,0.0,1.092520022699813,0.09252002269981308,113.47272800104878,97.44941894442417,26.4932057425846,-77.87345442250972,127.52471959122087,29.108790448211963
51.516,-66.8,-31.3,-85.5,-0.86,0.5,0.64,0.035,0.0,1.1828778466096996,0.18287784660969963,112.92555069602274,97.46554950334382,26.499716197245057,-77.88759173928565,127.54703150394735,33.93269150599069
51.518,-65.4,-30.8,-85.8,-0.89,0.53,0.66,0.034,0.0,1.2282507887235408,0.22825078872354077,112.19376096735505,97.48168006226354,26.506226651905514,-77.90172905606164,127.56934345291478,14.058684768508662
51.52,-60.7,-30.6,-87.2,-0.89,0.53,0.68,0.034,0.0,1.239112585683803,0.239112585683803,110.5653200601346,97.49781062118325,26.51273710656597,-77.91586637283763,127.59165543810411,1.2086929934077446
51.522,-59.7,-30.8,-87.6,-0.84,0.57,0.7,0.035,0.0,1.233085560697229,0.23308556069722908,110.39243633510405,97.48346118010298,26.549727561226366,-77.93000368961361,127.59701686282159,-34.52825995403301
51.524,-55.1,-29.9,-88.6,-0.73,0.48,0.67,0.034,0.0,1.1009995458672996,0.10099954586729964,108.53561627410608,97.46911173902264,26.586718015886866,-77.9441410063896,127.60239196533233,-20.55068732781995
51.526,-52.7,-29.9,-89.1,-0.45,0.33,0.64,0.034,0.0,0.8491171886141512,0.1508828113858488,107.75022041740796,97.45476229794231,26.623708470547363,-77.95827832316559,127.60778074390795,39.22720389672857
51.528,-51.4,-29.6,-89.5,-0.39,0.31,0.55,0.034,0.0,0.7420916385460761,0.25790836145392393,107.37024727549061,97.44041285686204,26.66069892520776,-77.97241563994152,127.6131831968159,41.0338592581678
51.53,-48.4,-30.1,-89.4,-0.34,0.2,0.56,0.036,0.0,0.6849817515817483,0.31501824841825166,106.02325216668275,97.42606341578164,26.697689379868258,-77.98655295671756,127.61859932231958,19.446872834073716
51.532,-47.8,-30.1,-89.3,-0.35,0.22,0.52,0.035,0.0,0.6643041472096949,0.3356958527903051,105.66617244889682,97.41171397470137,26.734679834528652,-78.00069027349349,127.6240291186783,1.4477641776001775
51.534,-45.4,-30.1,-89.5,-0.38,0.12,0.55,0.034,0.0,0.6791906948714772,0.3208093051285228,104.77318359198598,97.39736453362103,26.771670289189153,-78.01482759026948,127.62947258414721,-6.351484202772326
51.536,-43.2,-30.3,-89.3,-0.42,0.17,0.52,0.034,0.0,0.6897100840208152,0.31028991597918476,103.72473186275296,97.3830150925407,26.80866074384968,-78.02896490704546,127.63492971697744,-4.719517412403732
51.538,-42.1,-30.3,-89.3,-0.45,0.12,0.52,0.036,0.0,0.6980687645210893,0.30193123547891065,103.2714384522652,97.36866565146043,26.845651198510044,-78.04310222382145,127.64040051541596,-16.665709968267898
51.54,-40.6,-30.8,-89.0,-0.5,0.14,0.55,0.035,0.0,0.7563729238940273,0.24362707610597267,102.55730105653132,97.35431621038009,26.882641653170545,-78.05723954059744,127.64588497770566,-20.675021829133776
51.542,-39.0,-30.3,-88.8,-0.52,0.16,0.56,0.036,0.0,0.7807688518377255,0.21923114816227451,101.60969441938106,97.3704467692998,26.88915210783103,-78.07137685737342,127.66820390973291,-22.876696138858485
51.544,-36.7,-31.3,-88.8,-0.6,0.15,0.58,0.036,0.0,0.8478797084492588,0.15212029155074125,101.05453972979146,97.38657732821946,26.89566256249146,-78.08551417414935,127.69052287551317,-31.702586452126233
51.546,-35.9,-31.3,-88.5,-0.66,0.2,0.59,0.034,0.0,0.9075791976461338,0.09242080235386618,100.50248753140391,97.40270788713917,26.902173017151945,-78.0996514909254,127.71284187502894,-36.34942372442123
51.548,-32.1,-30.9,-88.5,-0.73,0.21,0.64,0.034,0.0,0.9932774033471213,0.006722596652878665,99.08314690198328,97.41883844605888,26.908683471812402,-78.11378880770138,127.7351609082624,-7.951943018314422
51.55,-30.5,-30.8,-88.4,-0.78,0.26,0.67,0.034,0.0,1.0606130302801302,0.06061303028013021,98.45531981564024,97.43496900497854,26.91519392647286,-78.12792612447731,127.75747997519579,22.3061205903869
51.552,-28.2,-30.6,-88.4,-0.79,0.27,0.71,0.036,0.0,1.0959470790143109,0.09594707901431088,97.70445230387406,97.4510995638982,26.921704381133317,-78.1420634412533,127.77979907581161,-14.075936327897919
51.554,-26.1,-31.0,-88.6,-0.69,0.23,0.68,0.036,0.0,0.9956907150315303,0.004309284968469718,97.42776811566607,97.46723012281791,26.928214835793774,-78.15620075802934,127.80211821009225,-7.465890875656413
51.556,-24.4,-30.3,-88.4,-0.6,0.19,0.69,0.035,0.0,0.9339164844888432,0.06608351551115677,96.58162351089364,97.48336068173757,26.93472529045423,-78.17033807480527,127.82443737801987,61.806404746164716
51.558,-21.2,-31.0,-88.3,-0.47,0.12,0.57,0.034,0.0,0.7484650960465691,0.2515349039534309,95.95483312475719,97.49949124065728,26.94123574511469,-78.18447539158126,127.84675657957705,45.04809926004304
51.56,-21.2,-31.0,-88.0,-0.49,0.12,0.56,0.035,0.0,0.7537240874484509,0.24627591255154913,95.6788377855835,97.51562179957699,26.947746199775146,-78.19861270835725,127.86907581474608,2.0487187784425487
51.562,-17.9,-30.4,-88.1,-0.5,0.08,0.54,0.036,0.0,0.7402702209328699,0.25972977906713013,94.90089567543606,97.53175235849665,26.954256654435603,-78.21275002513323,127.89139508350935,-0.9594478030472189
51.564,-17.1,-31.5,-87.4,-0.53,0.11,0.53,0.036,0.0,0.7575618786607469,0.24243812133925313,94.46385552156974,97.54788291741636,26.96076710909606,-78.22688734190922,127.91371438584936,-8.11305973628761
51.566,-16.3,-31.3,-87.3,-0.57,0.11,0.51,0.035,0.0,0.77272245987806,0.22727754012194,94.16299697864336,97.56401347633607,26.967277563756546,-78.2410246586852,127.93603372174846,-14.478360713596956
51.568,-13.1,-32.2,-87.0,-0.59,0.12,0.55,0.035,0.0,0.8154753215150046,0.18452467848499543,93.68804619587283,97.58014403525573,26.973788018416975,-78.25516197546114,127.95835309118904,-5.502549893599706
51.57,-13.0,-32.4,-86.7,-0.58,0.06,0.54,0.036,0.0,0.794732659452221,0.20526734054777895,93.46469921847499,97.59627459417544,26.98029847307746,-78.26929929223718,127.98067249415374,-17.77277221424218
51.572,-10.7,-32.5,-86.3,-0.68,0.1,0.56,0.036,0.0,0.8865664103720602,0.11343358962793981,92.8354996755013,97.61240515309515,26.98680892773792,-78.28343660901317,128.00299193062486,-38.923999868902946
51.574,-9.0,-33.1,-86.0,-0.82,0.14,0.64,0.036,0.0,1.049571341072154,0.04957134107215411,92.58839020093178,97.62853571201475,26.993319382398347,-78.2975739257891,128.0253114005848,-6.903981344269841
51.576,-7.8,-32.8,-85.6,-0.86,0.13,0.65,0.036,0.0,1.0858176642512314,0.08581766425123138,92.0002173910475,97.64466627093447,26.999829837058833,-78.31171124256508,128.04763090401633,24.432459990212486
51.578,-4.9,-34.1,-85.2,-0.93,0.17,0.65,0.036,0.0,1.1473011810331235,0.1473011810331235,91.90136016403675,97.66079682985418,27.00634029171929,-78.32584855934107,128.06995044090175,28.816295129618442
51.58,-4.5,-33.6,-85.0,-0.97,0.16,0.69,0.037,0.0,1.2010828447696686,0.20108284476966864,91.51070975574389,97.67692738877383,27.012850746379748,-78.33998587611705,128.09227001122358,19.615971545037397
51.582,-0.1,-33.8,-84.4,-0.99,0.18,0.7,0.036,0.0,1.2257650672131262,0.22576506721312617,90.91650015261257,97.69305794769355,27.019361201040205,-78.35412319289304,128.11458961496442,1.6088177591147854
51.584,0.1,-34.3,-84.6,-0.96,0.18,0.71,0.036,0.0,1.2075181158061357,0.20751811580613566,91.28888212701477,97.70918850661326,27.025871655700662,-78.36826050966903,128.13690925210673,-32.70553658169683
51.586,3.4,-33.1,-84.2,-0.82,0.09,0.72,0.034,0.0,1.0949429208867465,0.0949429208867465,90.53623583957973,97.72531906553291,27.03238211036112,-78.38239782644501,128.1592289226331,-47.55444171087102
51.588,5.5,-34.3,-83.5,-0.77,0.08,0.66,0.034,0.0,1.0173003489628811,0.01730034896288113,90.43776865889605,97.74144962445263,27.038892565021577,-78.396535143221,128.1815486265261,-19.45979742423901
51.59,6.2,-33.6,-82.8,-0.78,0.06,0.65,0.036,0.0,1.0171037311896953,0.017103731189695326,89.57254043511325,97.75758018337234,27.045403019682063,-78.41067245999699,128.2038683637683,2.104727718470089
51.592,9.5,-34.7,-82.3,-0.8,0.05,0.64,0.036,0.0,1.0257192598367255,0.025719259836725517,89.81998663994557,97.773710742292,27.05191347434249,-78.42480977677292,128.22618813434218,5.026014746361731
51.594,9.7,-34.9,-81.7,-0.83,0.05,0.62,0.037,0.0,1.0372077901751413,0.03720779017514131,89.36996139643342,97.78984130121165,27.05842392900295,-78.4389470935489,128.24850793823046,-0.2804444739331835
51.596,13.1,-34.8,-81.0,-0.83,0.03,0.6,0.034,0.0,1.024597481941079,0.024597481941079025,89.12715635540046,97.80597186013131,27.064934383663406,-78.45308441032489,128.27082777541574,-7.822570430497639
51.598,13.9,-35.7,-80.6,-0.8,0.01,0.59,0.037,0.0,0.9940824915468535,0.005917508453146536,89.24158223608543,97.82210241905102,27.071444838323863,-78.46722172710088,128.29314764588065,-0.600285803661742
51.6,14.8,-35.5,-79.6,-0.8,0.05,0.56,0.036,0.0,0.9778036612735709,0.02219633872642912,88.40503379333101,97.83823297797073,27.07795529298435,-78.48135904387686,128.3154675496078,10.048926452956021
51.602,17.4,-37.1,-78.9,-0.79,0.07,0.53,0.036,0.0,0.9538867857350788,0.04611321426492121,88.90658018392115,97.85436353689039,27.084465747644778,-78.49549636065285,128.33778748657977,-5.286722349535456
51.604,17.5,-37.3,-78.2,-0.84,0.07,0.54,0.034,0.0,1.001049449328054,0.001049449328053953,88.38993155331664,97.8704940958101,27.090976202305264,-78.50963367742884,128.36010745677933,4.906491458737893
51.606,20.6,-38.0,-77.2,-0.9,0.03,0.57,0.034,0.0,1.0657391800998968,0.06573918009989677,88.47711568535675,97.88662465472981,27.09748665696572,-78.52377099420482,128.3824274601891,23.758622265864542
51.608,21.6,-38.7,-76.7,-0.93,0.01,0.58,0.036,0.0,1.0960839383915815,0.09608393839158147,88.58408434927802,97.90275521364947,27.10399711162615,-78.53790831098075,128.40474749679169,-11.226546725581073
51.61,22.4,-38.9,-75.6,-0.84,-0.01,0.58,0.034,0.0,1.0208329931972222,0.020832993197222205,87.92229523846609,97.91888577256918,27.110507566286635,-78.55204562775674,128.42706756656992,-22.500607689753352
51.612,25.6,-40.2,-74.5,-0.8,-0.01,0.61,0.035,0.0,1.006081507632458,0.006081507632458072,88.44009271817845,97.9350163314889,27.117018020947093,-78.56618294453278,128.44938766950645,-4.098212657548071
51.614,25.3,-40.2,-73.9,-0.82,0.01,0.58,0.034,0.0,1.0044401425669924,0.004440142566992433,87.84839213098896,97.95114689040855,27.12352847560755,-78.58032026130871,128.47170780558392,28.334496195697668
51.616,27.9,-41.3,-72.7,-0.95,-0.05,0.59,0.036,0.0,1.1194194924156002,0.11941949241560024,88.14414331082922,97.96727744932821,27.130038930268007,-78.5944575780847,128.49402797478513,43.20059957208328
51.618,28.9,-41.8,-72.1,-1.03,-0.01,0.57,0.034,0.0,1.1772425408555367,0.1772425408555367,88.20918319540205,97.98340800824792,27.136549384928465,-78.60859489486069,128.51634817709288,40.00837892740064
51.62,29.6,-42.2,-70.9,-1.15,0.03,0.56,0.036,0.0,1.2794530081249564,0.27945300812495644,87.65734424450697,97.99953856716758,27.143059839588922,-78.62273221163667,128.53866841248978,34.48451377717283
51.622,31.6,-42.7,-70.5,-1.18,0.03,0.58,0.036,0.0,1.3151805959639153,0.31518059596391534,88.27287239010636,98.01566912608729,27.180050294249412,-78.63686952841266,128.56742891362939,28.184876824492648
51.624,32.4,-43.8,-69.0,-1.26,0.05,0.59,0.036,0.0,1.3921925154230648,0.39219251542306477,87.91586887473728,98.031799685007,27.21704074890993,-78.65100684518865,128.59619720027135,46.65458133259082
51.626,35.2,-44.3,-67.8,-1.37,0.08,0.61,0.036,0.0,1.5017989212940595,0.5017989212940595,88.30838012329293,98.04793024392666,27.254031203570285,-78.66514416196458,128.62497326719162,37.63308665785348
51.628,36.2,-45.3,-67.4,-1.42,0.06,0.6,0.036,0.0,1.5427248620541512,0.5427248620541512,88.9116977680665,98.06406080284637,27.291021658230775,-78.67928147874062,128.65375710916985,31.904538096454232
51.63,37.8,-46.0,-66.5,-1.5,0.09,0.63,0.036,0.0,1.6294170736800324,0.6294170736800324,89.25855701275928,98.08019136176608,27.328012112891294,-78.6934187955166,128.6825487209884,26.037742029057313
51.632,39.1,-46.4,-65.7,-1.52,0.07,0.63,0.036,0.0,1.6468758301705688,0.6468758301705688,89.43299167533199,98.09632192068574,27.365002567551645,-78.70755611229254,128.7113480974331,14.797955309760681
51.634,40.8,-46.9,-64.3,-1.55,0.0,0.67,0.036,0.0,1.6886088949191285,0.6886088949191285,89.43567520849831,98.11245247960545,27.401993022212164,-78.72169342906852,128.74015523329328,30.72454167501695
51.636,41.9,-47.7,-63.9,-1.65,0.0,0.64,0.035,0.0,1.7697739968707868,0.7697739968707868,90.078354780713,98.12858303852511,27.43898347687265,-78.73583074584457,128.76897012336119,30.630836907410128
51.638,43.8,-48.5,-62.0,-1.69,-0.04,0.65,0.036,0.0,1.8111322425488425,0.8111322425488425,90.08157414255147,98.14471359744476,27.475973931533005,-78.7499680626205,128.79779276243244,29.613171109061398
51.64,45.7,-49.8,-60.5,-1.78,-0.01,0.63,0.035,0.0,1.8882266813070936,0.8882266813070936,90.7126231568683,98.16084415636448,27.512964386193524,-78.76410537939648,128.82662314530603,26.539377811031528
51.642,47.1,-49.9,-59.7,-1.8,-0.02,0.66,0.036,0.0,1.9172897537930984,0.9172897537930984,90.95333968579713,98.20745471528424,27.51947484085398,-78.77824269617247,128.87217379817898,28.50551362249928
51.644,48.4,-51.0,-58.3,-1.91,-0.03,0.6,0.034,0.0,2.002248735796829,1.002248735796829,91.33701330785892,98.25406527420382,27.525985295514438,-78.79238001294846,128.91772708786507,34.81518904075469
51.646,48.8,-51.8,-57.6,-1.97,-0.02,0.59,0.034,0.0,2.056550509955931,1.056550509955931,91.55566612722556,98.30067583312358,27.532495750174895,-78.80651732972444,128.9632830115704,32.50089862166229
51.648,51.5,-52.7,-55.9,-2.06,0.02,0.55,0.035,0.0,2.132252330283637,1.1322523302836371,92.48972915951262,98.34728639204334,27.539006204835353,-78.82065464650043,129.00884156650443,36.032800651257105
51.65,52.2,-54.1,-54.5,-2.13,0.06,0.55,0.036,0.0,2.2006817125609053,1.2006817125609053,92.8541867661335,98.39389695096293,27.54551665949581,-78.83479196327636,129.0544027498804,34.79473414029843
